num_clients,num_slices,time_s
2,1,0.08351445198059082
2,5001,0.6910052299499512
2,10001,1.2842295169830322
2,15001,1.8798792362213135
2,20001,2.469862461090088
2,25001,2.9170639514923096
2,30001,2.2431278228759766
2,35001,2.6103336811065674
2,40001,3.0654854774475098
2,45001,3.4375228881835938
2,50001,3.937419891357422
2,55001,4.348872184753418
2,60001,4.692453384399414
2,65001,5.106308221817017
2,70001,5.350735664367676
2,75001,6.118603706359863
2,80001,6.547326326370239
2,85001,6.950649738311768
7,1,0.050539255142211914
7,5001,1.368797779083252
7,10001,2.7423110008239746
7,15001,4.089971542358398
7,20001,5.413256645202637
7,25001,6.698528051376343
7,30001,8.106983184814453
7,35001,9.553709506988525
7,40001,11.770070314407349
7,45001,12.166894435882568
7,50001,13.627775430679321
7,55001,14.889920949935913
7,60001,16.06626534461975
7,65001,17.73221731185913
7,70001,19.071532726287842
7,75001,20.766460180282593
7,80001,21.69810914993286
7,85001,22.935362339019775
12,1,0.055474042892456055
12,5001,2.3065590858459473
12,10001,4.547182321548462
12,15001,6.807215452194214
12,20001,9.189850091934204
12,25001,11.561460733413696
12,30001,14.005776643753052
12,35001,17.25556492805481
12,40001,18.298877000808716
12,45001,20.8448805809021
12,50001,23.210611820220947
12,55001,25.27877402305603
12,60001,27.753143548965454
12,65001,29.836766004562378
12,70001,32.79491114616394
12,75001,35.24892044067383
12,80001,37.49872159957886
12,85001,40.40017795562744
17,1,0.0549314022064209
17,5001,3.2778749465942383
17,10001,6.591442108154297
17,15001,9.860880613327026
17,20001,13.567172765731812
17,25001,16.71212363243103
17,30001,20.233428239822388
17,35001,23.42062211036682
17,40001,26.651371479034424
17,45001,29.853371620178223
17,50001,31.482435941696167
17,55001,38.83207869529724
17,60001,39.95628118515015
17,65001,45.69069194793701
17,70001,49.80368781089783
17,75001,53.018237590789795
17,80001,55.55601501464844
17,85001,59.38899493217468
22,1,0.05788779258728027
22,5001,4.483280181884766
22,10001,8.96755599975586
22,15001,13.488883972167969
22,20001,17.987739324569702
22,25001,23.57821249961853
22,30001,27.417297840118408
22,35001,32.23773765563965
22,40001,36.628143310546875
22,45001,45.18158316612244
22,50001,53.347710371017456
22,55001,58.16248679161072
22,60001,63.53952193260193
22,65001,68.44624757766724
22,70001,74.02304983139038
22,75001,80.34565877914429
22,80001,84.86411190032959
22,85001,88.33299684524536
27,1,0.06306266784667969
27,5001,6.98987340927124
27,10001,12.558693170547485
27,15001,19.1835298538208
27,20001,25.350278615951538
27,25001,32.17871689796448
27,30001,38.87255239486694
